architect_id,architectJa,architectEn,slug
24,綜環境計画研究所,Soukankyo planning institute,soukankyo-planning-institute
25,信設計事務所,Shin design office,shin-design-office
26,一色建築設計事務所,ISSIKI ARCHITECTS & PARTNERS,issiki-architects-partners-26
27,土岐新建築総合計画事務所,SIN TOKI ARCHITECT & ASSOCIATES,sin-toki-architect-associates
28,青島設計室,Aoshima design office,aoshima-design-office
29,梵寿綱,Brahma-juna,brahma-juna
30,須賀徳光,Tokumitsu suga,tokumitsu-suga
31,小沢明,Akira ozawa,akira-ozawa
32,村田靖夫建築研究室,YASUO MURATA ARCHITECT & ASSOCIATES,yasuo-murata-architect-associates
33,野口捷二,Shoji noguchi,shoji-noguchi
34,荒木正彦,Masahiko araki,masahiko-araki
35,内井昭蔵建築設計事務所,S. UCHII ARCHITACTS,s-uchii-architacts
36,アーキヴィジョン,Archi-vision,archi-vision
37,美建．設計事務所,Biken. design office,biken-design-office-37
38,木島安史＋YAS都市研究所,YAS & URBANISTS,yas-urbanists-38
39,伊丹潤建築設計研究所,Jun itami architects & engineers,jun-itami-architects-engineers
41,吉村順三,Junzo yoshimura,junzo-yoshimura
42,白沢宏規,Hiroki shirasawa,hiroki-shirasawa
43,赤崎尚信,Naonobu akasaki,naonobu-akasaki
44,関沢弘子 関沢勝一,Hiroko sekizawa katsuichi sekizawa,hiroko-sekizawa-katsuichi-sekizawa
45,武藤章,Akira muto,akira-muto
46,三井不動産 日本設計事務所 武藤構造力学研究所,Mitsui fudosan japan design office mutoh structural mechanics laboratory,mitsui-fudosan-japan-design-office-mutoh-structural-mechanics-laboratory
47,大成建設,TAISEI DESIGN PLANNERS ARCHITECTS & ENGINEERS,taisei-design-planners-architects-engineers-47
49,住友不動産建築技術部・戎工務店,"Sumitomo fudosan architectural engineering department, ebisu corp.",sumitomo-fudosan-architectural-engineering-department-ebisu-corp
50,竹下建築設計室,Takeshita architects & engineers,takeshita-architects-engineers
51,富永譲＋フォルムシステム研究所,Yuzuru tominaga + form system research institute,yuzuru-tominaga-form-system-research-institute
52,トリアド建築設計事務所,Triad architectural design office,triad-architectural-design-office
54,曽根幸一＋環境設計研究所,Koichi sone + environmental design institute,koichi-sone-environmental-design-institute
56,クラマタ・デザイン事務所,Kuramata design office,kuramata-design-office
57,内田繁・三橋いく代,"Shigeru uchida, ikuyo mitsuhashi",shigeru-uchida-ikuyo-mitsuhashi-57
58,北村陸夫建築設計室,Rikuo kitamura architects,rikuo-kitamura-architects
59,吉岡・田島設計事務所,Yoshioka & tajima design office,yoshioka-tajima-design-office
60,清水建設建築設計本部,Shimizu corporation architectural design division,shimizu-corporation-architectural-design-division
61,指宿真智雄＋建築デザイン　緑地デザイン　設備デザイン,Machio ibusuki + architectural design green space design facility design,machio-ibusuki-architectural-design-green-space-design-facility-design
62,伊藤喜三郎建築研究所,K.ITO ARCHITECTS & ENGINEERS,k-ito-architects-engineers
65,建築研究所アーキヴィジョン,Architectural institute archi-vision,architectural-institute-archi-vision
66,磯崎新アトリエ,ARATA ISOZAKI & ASSOCIATES,arata-isozaki-associates-66
67,清家清　戸田建設,Kiyoshi seike toda construction,kiyoshi-seike-toda-construction
69,芦原建築研究所,Ashihara architectural laboratory,ashihara-architectural-laboratory
70,芦原建築設計研究所,Y. ASHIHARA ARCHITECT & ASSOCIATES,y-ashihara-architect-associates-70
73,中島龍彦建築事務所,NAKAJIMA TATSUHIKO Architect and Associates,nakajima-tatsuhiko-architect-and-associates
75,香山アトリエ,Kayama atelier,kayama-atelier
76,DAM・DAN,DAM・DAN,dam-dan
79,保坂陽一郎建築研究所,YOICHIRO HOSAKA ARCHITECT & ASSOCIATES,yoichiro-hosaka-architect-associates
80,森京介建築事務所,Kyosuke Mori Architects,kyosuke-mori-architects
81,日本図書館協会施設委員会,"Facilities committee, japan library association",facilities-committee-japan-library-association
82,兵庫県建築部営繕課　安井建築設計事務所,"Hyogo prefectural building department, repair division, yasui architects & engineers, inc.",hyogo-prefectural-building-department-repair-division-yasui-architects-engineers-inc
83,榎本建築設計事務所,ENOMOTO ARCHITECTS,enomoto-architects
84,香川県土木部建築課・豊浜町建設課,"Building division, public works department, kagawa prefecture; construction division, toyohama town",building-division-public-works-department-kagawa-prefecture-construction-division-toyohama-town
85,川崎製鉄営繕部建築課　村野・森建築事務所,"Murano & mori architectural office, building division, kawasaki steel repair department",murano-mori-architectural-office-building-division-kawasaki-steel-repair-department
86,木村弘,Hiroshi kimura,hiroshi-kimura
87,石井和紘＋難波和彦,Kazuhiro ishii + kazuhiko namba,kazuhiro-ishii-kazuhiko-namba
88,上田篤＋塩路建築事務所,Atsushi ueda + shioji architects,atsushi-ueda-shioji-architects
89,日新設計,Nisshin design,nisshin-design
90,芙蓉総合開発,Fuyo general development co.,fuyo-general-development-co
91,日本設計事務所,"NIHON Architects, Engineers & Consultants",nihon-architects-engineers-consultants
92,坂倉建築研究所東京事務所,SAKAKURA ASSOCIATES ARCHITECTS AND ENGINEERS,sakakura-associates-architects-and-engineers-92
93,井上武吉研究所,Takeyoshi inoue research institute,takeyoshi-inoue-research-institute
96,岡田威海,"Okada, takekai",okada-takekai
97,アトリエ・モルフ建築事務所,Atelier morph architects,atelier-morph-architects
98,鋤納忠治,Tadaharu sukinao,tadaharu-sukinao
99,黒沢隆研究室,TAKASHI KUROSAWA Atelier,takashi-kurosawa-atelier
100,氏家隆正設計事務所,Takamasa ujiie design office,takamasa-ujiie-design-office
101,アーキブレーン,Archibrain,archibrain
102,星島建築設計事務所,Hoshijima architects & engineers,hoshijima-architects-engineers
105,小野建築・環境計画事務所,ONO ARCHITECT & ASSOCIATES,ono-architect-associates
107,URBOT,Urbot,urbot
108,藤井博巳建築研究室,"HIROMI FUJII, Architect and Associates",hiromi-fujii-architect-and-associates
109,林雅子 林・山田・中原設計同人,MASAKO HAYASHI,masako-hayashi-109
110,坂倉建築研究所大阪事務所,SAKAKURA ASSOCIATES,sakakura-associates-110
112,デザインシステム,DESIGN SYSTEM INC.,design-system-inc
113,清水建設,SHIMIZU CORPORATION,shimizu-corporation-113
114,兵庫沖縄友愛運動推進協議会　小野建築設計事務所,"Hyogo okinawa friendship movement promotion council ono architects & engineers, inc.",hyogo-okinawa-friendship-movement-promotion-council-ono-architects-engineers-inc
115,環境デザイン研究所,ENVIRONMENT DESIGN INSTITUTE,environment-design-institute
116,匠設計,TAKUMI ARCHITECTS & ENGINEERS,takumi-architects-engineers-116
117,アトリエ・ナカソネ＋アトリエ・アイ,Atelier nakasone + atelier ai,atelier-nakasone-atelier-ai
119,国建設計,Kokken design,kokken-design
120,池原謙一郎,Kenichiro ikehara,kenichiro-ikehara
121,大林組,OBAYASHI CORPORATION,obayashi-corporation-121
122,福沢健次＋F設計計画事務所,Kenji fukuzawa + f design planning office,kenji-fukuzawa-f-design-planning-office
123,日立建設設計,Hitachi construction design co.,hitachi-construction-design-co
124,三菱地所,MITSUBISHI ESTATE ARCHITECTURAL & ENGINEERING OFFICE,mitsubishi-estate-architectural-engineering-office
125,集団住宅・建築研究所,Collective housing and building research institute,collective-housing-and-building-research-institute
127,海洋博沖縄設計共同企業体,Ocean expo okinawa design joint venture,ocean-expo-okinawa-design-joint-venture
130,船クラスター施設・展示設計共同企業体（環境設計研究所・谷口アトリエ・熊井建築設計事務所）,"Ship cluster facility and exhibition design joint venture (kankyo sekkei kenkyusho, taniguchi atelier, kumai architects & engineers)",ship-cluster-facility-and-exhibition-design-joint-venture
131,村田豊建築事務所,Yutaka murata architects & engineers,yutaka-murata-architects-engineers
132,環境設計研究所　谷口アトリエ　熊井建築設計事務所,"Environmental design institute, taniguchi atelier, kumai architects",environmental-design-institute-taniguchi-atelier-kumai-architects
134,神谷宏治計画設計事務所,Koji kamiya planning and design office,koji-kamiya-planning-and-design-office
135,山下和正建築研究所,KAZUMASA YAMASHITA ARCHITECT AND ASSOCIATES,kazumasa-yamashita-architect-and-associates
136,白井晟一研究所,Shirai chenichi research institute,shirai-chenichi-research-institute
137,建築計画研究所,Architectural planning institute,architectural-planning-institute
139,AZ Institute　山崎泰孝,Az institute yasutaka yamazaki,az-institute-yasutaka-yamazaki
140,吉村設計事務所,Yoshimura design office,yoshimura-design-office
141,村野藤吾,Togo murano,togo-murano
145,日本電信電話公社建築,Nippon telegraph and telephone public corporation building,nippon-telegraph-and-telephone-public-corporation-building
147,仙アートスタジオ＋戸田建設,Sen art studio + toda construction,sen-art-studio-toda-construction
148,相田武文,Takefumi aida,takefumi-aida
149,岡設計,OKA SEKKEI. ARCHITECTS AND ENGINEERS,oka-sekkei-architects-and-engineers
152,日建設計,NIKKEN SEKKEI,nikken-sekkei-152
154,大高建築設計事務所,MASATO ODAKA ARCHITECTS & ASSOCIATES,masato-odaka-architects-associates
156,早稲田大学穂積研究室,"Hozumi Laboratory, Waseda University",hozumi-laboratory-waseda-university
157,坂本一成,Kazunari sakamoto,kazunari-sakamoto
158,伊東豊雄,"TOYO ITO & ASSOCIATES, ARCHITECTS",toyo-ito-associates-architects-158
160,シーザー・ペリ(グルーエン設計事務所),Cesar pelli (gruen design office),cesar-pelli
161,久米建築事務所,KUME ArchitectsーEngineers,kume-architectsーengineers
162,象設計集団,ATELIER ZO,atelier-zo
165,池田宮彦設計事務所,Miyahiko ikeda design office,miyahiko-ikeda-design-office
166,神谷宏治計画・設計事務所,Koji kamiya planning & design office,koji-kamiya-planning-design-office
167,日本大学生産工学部神谷研究室,"Kamiya laboratory, college of industrial engineering, nihon university",kamiya-laboratory-college-of-industrial-engineering-nihon-university
168,大谷研究室,OTANI KENKYUSHITSU,otani-kenkyushitsu
170,村野藤吾・大成建設設計部,"Togo murano, taisei corporation design department",togo-murano-taisei-corporation-design-department
171,橋本文隆＋YAS都市研究所,Fumitaka hashimoto + yas urban research institute,fumitaka-hashimoto-yas-urban-research-institute-171
172,長谷川逸子,ITSUKO HASEGAWA ATELIER,itsuko-hasegawa-atelier-172
173,高木滋生建築設計事務所,S. TAKAGI ARCHITECT & ASSOCIATES,s-takagi-architect-associates
176,SDAスペースデザインアソシエート,Sda space design associate,sda-space-design-associate-176
177,アルプ設計室,Alp design office,alp-design-office-177
178,武基雄＋武建築設計研究所,"Motoo take + take architects & engineers, inc.",motoo-take-take-architects-engineers-inc
180,高須賀晋,Susumu Takasuga,susumu-takasuga
181,出江寛,KAN IZUE ARCHITECT & ASSOCIATES,kan-izue-architect-associates-181
184,相田武文設計研究所,TAKEFUMI AIDA ARCHITECT & ASSOCIATES,takefumi-aida-architect-associates
185,樹生(JUNA),Juna,juna
186,木下建築設計事務所,"Kinoshita architects & engineers, inc.",kinoshita-architects-engineers-inc
187,瀧光夫,MITSUO TAKI,mitsuo-taki
188,坂倉竹之助,TAKENOSUKE SAKAKURA,takenosuke-sakakura
189,大阪府企業局,Osaka prefectural enterprise bureau,osaka-prefectural-enterprise-bureau
190,香川県土木部建築課,"Building division, department of public works, kagawa prefectural government",building-division-department-of-public-works-kagawa-prefectural-government
191,毛利建築設計事務所,Mori architectural design office,mori-architectural-design-office
192,遠藤剛生建築設計事務所,TAKAO ENDO ARCHITECT OFFICE,takao-endo-architect-office-192
194,コンコード建築設計事務所,"Concord architects & engineers, inc.",concord-architects-engineers-inc
195,前川国男建築設計事務所,Kunio Maekawa Architects & Engineers,kunio-maekawa-architects-engineers-195
196,川崎清＋環境・建築研究所,KIYOSHI KAWASAKI+Design Institute of Landscape & Architecture,kiyoshi-kawasaki-design-institute-of-landscape-architecture-196
205,丹下健三・都市・建築設計研究所,KENZO TANGE ASSOCIATES,kenzo-tange-associates-205
223,創和設計,Souwa design,souwa-design
225,野沢正光建築工房,MASAMITSU NOZAWA BUILDING WORKSHOP,masamitsu-nozawa-building-workshop
226,三輪正弘環境造形研究所,Masahiro miwa environmental design institute,masahiro-miwa-environmental-design-institute
227,佐藤武夫設計事務所,SATOW Architects & Engineers,satow-architects-engineers
229,彦谷建築設計事務所,"Hikotani architects & engineers, inc.",hikotani-architects-engineers-inc
233,計画・設計工房,Planning and Design Studio,planning-and-design-studio
237,鬼頭梓建築設計事務所,Azusa Kito Architect & Associates,azusa-kito-architect-associates
238,パンデコン建築設計研究所,PANDECON INSTITUTE OF ARCHITECTURE,pandecon-institute-of-architecture-238
240,小林美夫＋アトリエ・K　日本綜合建築事務所,Yoshio kobayashi + atelier k japan integrated architectural office,yoshio-kobayashi-atelier-k-japan-integrated-architectural-office
242,松田平田坂本設計事務所,MATSUDA HIRATA SAKAMOTO Architects/Planners/Engineers,matsuda-hirata-sakamoto-architects-planners-engineers
247,現代計画研究所,GENDAI KEIKAKU ARCHITECTURAL & PLANNING OFFICE,gendai-keikaku-architectural-planning-office
250,石本建築事務所,ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM,ishimoto-architectural-engineering-firm-250
251,教育施設研究所・文部省工営課・岡野真,"Institute for educational facilities research, ministry of education, engineering division, makoto okano",institute-for-educational-facilities-research-ministry-of-education-engineering-division-makoto-okano
253,杉建築設計事務所,Sugi architectural design office,sugi-architectural-design-office
255,日本大学生産工学部宗研究室＋千代田建築研究所,"So laboratory, college of industrial engineering, nihon university + chiyoda architectural institute",so-laboratory-college-of-industrial-engineering-nihon-university-chiyoda-architectural-institute-255
256,黒川哲郎＋臼田哲男,Tetsuro kurokawa + tetsuo usuda,tetsuro-kurokawa-tetsuo-usuda
258,坂倉建築研究所,SAKAKURA ASSOCIATES,sakakura-associates-258
261,宮脇檀建築研究室,MAYUMI MIYAWAKI ARCHITECT AND ASSOCIATES,mayumi-miyawaki-architect-and-associates
263,中村一・瀧光夫,"Hajime nakamura, mitsuo taki",hajime-nakamura-mitsuo-taki
265,独楽蔵,KOMAGURA,komagura
266,渡辺武信設計室,TAKENOBU WATANABE ARCHITECT AND ASSOCIATES,takenobu-watanabe-architect-and-associates
268,GRUPPE･KEN,"GRUPPE, KEN",gruppe-ken
270,渡辺豊和建築工房,TOYOKAZU WATANABE ARCHITECT AND ASSOCIATES,toyokazu-watanabe-architect-and-associates
271,アトリエR,Atelier R,atelier-r-271
272,清家清＋デザインシステム,Kiyoshi seike + design system,kiyoshi-seike-design-system
275,アトリエ515A,Atelier 515a,atelier-515a
278,竹山実建築綜合研究所,MINORU TAKEYAMA Architect & U/A,minoru-takeyama-architect-u-a-278
280,東孝光建築研究所,Takamitsu Azuma Architects & Engineers,takamitsu-azuma-architects-engineers
282,林・山田・中原設計同人,"Hayashi, yamada & nakahara design doujin",hayashi-yamada-nakahara-design-doujin
285,石井和紘建築研究所,KAZUHIRO ISII ARCHITECT & ASSOCIATES,kazuhiro-isii-architect-associates
288,谷口吉郎,Yoshiro taniguchi,yoshiro-taniguchi
289,村野・森建築事務所,T. MURANO & MORI ASSOCIATED ARCHITECTS OFFICE,t-murano-mori-associated-architects-office-289
290,前川国男建築設計事務所＋横山建築構造設計事務所,Kunio maekawa architects + yokoyama architects & engineers,kunio-maekawa-architects-yokoyama-architects-engineers
291,京都市住宅局営繕課・設備部／川崎清＋建築研究協会,"Kyoto city housing bureau, repair division and facilities department / kiyoshi kawasaki + building research institute",kyoto-city-housing-bureau-repair-division-and-facilities-department-kiyoshi-kawasaki-building-research-institute
293,AZ institute・環境計画研究所,Az institute & environmental planning institute,az-institute-environmental-planning-institute
295,矢向建築事務所,Yamata architects office,yamata-architects-office
296,山本公也＋日本総合建築事務所＋S.D.G.システムディベロッピンググループ,Kimiya yamamoto + japan sogo architectural office + s.d.g. system developing group,kimiya-yamamoto-japan-sogo-architectural-office-s-d-g-system-developing-group
297,安東勝男＋建築計画連合,Katsuo ando + architectural planning union,katsuo-ando-architectural-planning-union
298,第一工房,DAIICHI-KOBO ASSOCIATES,daiichi-kobo-associates-298
299,富家建築事務所,Tomiya architects office,tomiya-architects-office
304,清家清,clear and serene (as a polished mirror and still water),clear-and-serene
306,国建設計工務,National construction accountant,national-construction-accountant
307,西野善介建築研究室,Yoshisuke nishino architecture laboratory,yoshisuke-nishino-architecture-laboratory
309,戸田建設,TODA CORPORATION,toda-corporation-309
310,土岐新・建築総合計画事務所,Toki shin & architectural planning office,toki-shin-architectural-planning-office
311,戸尾任宏／建築研究所アーキヴィジョン,Nobuhiro too / architectural institute archi-vision,nobuhiro-too-architectural-institute-archi-vision
316,AZ institute PLUS計画設計事務所,"AZ institute, PLUS PLAN Design",az-institute-plus-plan-design
317,象設計集団＋アトリエ・モビル,Zo design group + atelier mobile,zo-design-group-atelier-mobile
319,岸本建築設計事務所＋近藤侊三建築研究室,Kishimoto architects + kondo shinzo architectural laboratory,kishimoto-architects-kondo-shinzo-architectural-laboratory
320,神谷・荘司計画設計事務所,Kamiya & soji planning and design office,kamiya-soji-planning-and-design-office
321,光吉健次・茂木謙悟＋綜合建築設計研究所,"Kenji mitsuyoshi, kengo mogi + sogo kenchiku sekkei inc.",kenji-mitsuyoshi-kengo-mogi-sogo-kenchiku-sekkei-inc
322,北九州市建築局営繕課，機械課，電気課／光吉健次・茂木謙悟＋綜合建築設計研究所,"Kenji mitsuyoshi, kengo mogi + sohgoh architectural design laboratory",kenji-mitsuyoshi-kengo-mogi-sohgoh-architectural-design-laboratory
326,六角鬼丈計画工房,"KIJYO ROKKAKU,ARCHITECT & ASSOCIATES",kijyo-rokkaku-architect-associates
327,武田光史,Mitsushi takeda,mitsushi-takeda
328,浦田義久,Yoshihisa urata,yoshihisa-urata
329,アトリエ74,Atelier 74,atelier-74
330,本江謙次　保坂高,Kenji motoe takashi hosaka,kenji-motoe-takashi-hosaka
331,辻隆司建築設計事務所,"Takashi tsuji architects & engineers, inc.",takashi-tsuji-architects-engineers-inc
332,RE設計事務所,RE ARCHITECTURAL FIRM,re-architectural-firm
333,林寛治,HAYASHI KANJI， JIA,hayashi-kanji-jia
335,浅井建築設計事務所,Asai architectural design office,asai-architectural-design-office
336,R．カイザー,R. kaiser.,r-kaiser
337,深谷俊則,Toshinori fukaya,toshinori-fukaya
340,安藤忠雄建築研究所,TADAO ANDO ARCHITECT & ASSOCIATES,tadao-ando-architect-associates-340
345,武者英二研究室,Eiji musha laboratory,eiji-musha-laboratory
347,柳建築設計事務所,Yanagi architects & engineers,yanagi-architects-engineers
348,奥村昭雄,Akio okumura,akio-okumura
355,都市環境・計画研究所,Urban environment and planning research institute,urban-environment-and-planning-research-institute
356,六器建築設計事務所・浅野克彦,"Katsuhiko asano, rokki architects & engineers, inc.",katsuhiko-asano-rokki-architects-engineers-inc
357,YAS都市研究所,Yas urban research institute,yas-urban-research-institute-357
359,SDA：スペースデザインアソシエート,Sda: space design associate,sda-space-design-associate-359
362,鹿島建設建築設計本部建築設計部,"Architectural design department, architectural design division, kajima corporation",architectural-design-department-architectural-design-division-kajima-corporation
363,杉山隆建築設計事務所,TAKASHI SUGIYAMA ARCHITECT & ASSOCIATES,takashi-sugiyama-architect-associates-363
365,由良滋,Yura shigeru,yura-shigeru
367,竹中工務店東京支店,Takenaka corporation tokyo branch,takenaka-corporation-tokyo-branch
368,建築設計工房TEAM RAP,Architectural design studio team rap,architectural-design-studio-team-rap
369,藤木忠善,Tadayoshi fujiki,tadayoshi-fujiki
370,鈴木恂建築設計事務所,Suzuki yu architectural design office,suzuki-yu-architectural-design-office
373,田中・西野設計事務所,Tanaka & nishino design office,tanaka-nishino-design-office
377,岡田・的場設計事務所＋岡田威海,Okada & matoba design office + takekai okada,okada-matoba-design-office-takekai-okada
379,古橋建築事務所,FURUHASHI ARCHITECT AND ASSOCIATES,furuhashi-architect-and-associates
380,日建設計・東京／竹中工務店,"Nikken sekkei, tokyo / takenaka corporation",nikken-sekkei-tokyo-takenaka-corporation
389,田中謙次建築研究所,Kenji Tanaka Architectural Institute,kenji-tanaka-architectural-institute
392,観光企画設計社＋R.C.ガイテ＆アソシエイツ,Kanko kikaku sekkeisha + r.c. gaithe & associates,kanko-kikaku-sekkeisha-r-c-gaithe-associates
393,設計事務所ジェネラルドラフティング,Design firm general drafting,design-firm-general-drafting
396,高口恭行＋近畿建築構造研究所,Yasuyuki takaguchi + kinki institute of building and structures,yasuyuki-takaguchi-kinki-institute-of-building-and-structures
398,武蔵野美術大学造形学部学科建築学科研究室＋保坂陽一郎建築研究所,Musashino art university faculty of art and design department of architecture laboratory + hosaka yoichiro architectural institute,musashino-art-university-faculty-of-art-and-design-department-of-architecture-laboratory-hosaka-yoichiro-architectural-institute
399,レーモンド建築設計事務所,"Raymond architects & engineers, inc.",raymond-architects-engineers-inc
401,小川信子＋アトリエ・モビル＋湯本貞子・阿部祥子,"Nobuko ogawa + atelier mobile + sadako yumoto, shoko abe",nobuko-ogawa-atelier-mobile-sadako-yumoto-shoko-abe
402,小川信子＋アトリエ・モビル,Nobuko ogawa + atelier mobile,nobuko-ogawa-atelier-mobile
405,小川信子＋アトリエ・モビル＋阿部幸正,Nobuko ogawa + atelier mobile + yukimasa abe,nobuko-ogawa-atelier-mobile-yukimasa-abe
406,小川信子＋アトリエ・モビル＋赤井奈津子＋小笠原享,Nobuko ogawa + atelier mobile + natsuko akai + kyou ogasawara,nobuko-ogawa-atelier-mobile-natsuko-akai-kyou-ogasawara
410,日本設計事務所大阪支社,"Osaka branch office, nippon design office",osaka-branch-office-nippon-design-office
412,漆原美代子事務所,Miyoko urushihara office,miyoko-urushihara-office
413,小杉英男,Hideo kosugi,hideo-kosugi
414,寺本文夫　寺本晰子,"Fumio teramoto, luciko teramoto",fumio-teramoto-luciko-teramoto
415,小川守之,Moriyuki ogawa,moriyuki-ogawa
416,石田信男,Nobuo ishida,nobuo-ishida
417,SDA・スペースデザインアソシエート,"Sda, space design associate",sda-space-design-associate-417
420,北島道生アトリエ,Michio kitajima atelier,michio-kitajima-atelier
421,吉島忠男,Tadao yoshijima,tadao-yoshijima
422,高松伸,SHIN TAKAMATSU ARCHITECT & ASSOCIATES,shin-takamatsu-architect-associates
424,山下司建築研究室,Tsukasa yamashita architects laboratory,tsukasa-yamashita-architects-laboratory
426,水谷頴介＋都市・計画・設計研究所,Mizutani keisuke + urban planning and design institute,mizutani-keisuke-urban-planning-and-design-institute
429,阿部勤／アルテック建築研究所,"Tsutomu Abe/Altec Architects & Engineers, Inc.",tsutomu-abe-altec-architects-engineers-inc
430,長尾重武,Shigetake nagao,shigetake-nagao
431,野田正治,Shoji noda,shoji-noda
433,阿久井研究室,Akui laboratory,akui-laboratory
435,神谷五男,ITSUO KAMIYA & ASSOCIATES,itsuo-kamiya-associates-435
436,北海道建築設計監理・教育施設研究所共同企業体,Hokkaido architectural design & supervision and educational facilities research institute joint venture,hokkaido-architectural-design-supervision-and-educational-facilities-research-institute-joint-venture
437,太田実,Ota minoru,ota-minoru
438,門設計研究所,Kadon design laboratory,kadon-design-laboratory
442,出江寛建築事務所,KAN IZUE architect & associates,kan-izue-architect-associates-442
444,葉祥栄,SHOEI YOH,shoei-yoh
446,川崎清十環境・建築研究所,Kawasaki seiju environmental & architectural research institute,kawasaki-seiju-environmental-architectural-research-institute
449,現代計画・三上設計共同企業体,Hyundai planning & mikami sekkei joint venture,hyundai-planning-mikami-sekkei-joint-venture
455,TRIAD建築設計事務所,TRIAD Architects & Associates,triad-architects-associates
457,三浦紀之建築工房,NORIYUKI MIURA ARCHITECTURE DESIGN OFFICE,noriyuki-miura-architecture-design-office
461,界工作舎,court ladies' residence (in the inner Heian Palace),court-ladies-residence
466,宮本忠長建築設計事務所,TADANAGA MIYAMOTO ARCHITECT & ASSOCIATES,tadanaga-miyamoto-architect-associates-466
467,現代計画研究所・柴建築設計事務所設計共同企業体,Gendai planning institute & shiba architectural design office design joint venture,gendai-planning-institute-shiba-architectural-design-office-design-joint-venture
468,日本住宅公団関東支社・現代計画研究所,"Japan housing corporation kanto branch, gendai planning institute",japan-housing-corporation-kanto-branch-gendai-planning-institute
476,沖種郎＋設計連合,Taneiro oki + design coalition,taneiro-oki-design-coalition
481,後藤真理子,Mariko goto,mariko-goto
482,吉田研介,Kensuke yoshida,kensuke-yoshida
485,長島孝一,KOICHI NAGASHIMA+AUR,koichi-nagashima-aur-485
486,木村傳建築設計事務所,Den kimura architects & engineers,den-kimura-architects-engineers
487,遠藤楽建築創作所,Endo raku kenchiku sousakusho,endo-raku-kenchiku-sousakusho
490,水澤工務店,MIZUSAWA KOUMUTEN,mizusawa-koumuten
491,波多江健郎建築研究室,Kenro hatae architectural laboratory,kenro-hatae-architectural-laboratory
492,畠山博茂,Hiroshige hatakeyama,hiroshige-hatakeyama
493,建築環境研究所,Institute for built environment,institute-for-built-environment
498,毛綱モン太建築工房,"Monta metsuna architects & engineers, inc.",monta-metsuna-architects-engineers-inc
500,上遠野建築事務所,Kamitono architects office,kamitono-architects-office
501,団建築設計事務所,Dan architectural design office,dan-architectural-design-office
502,設計事務所ゲンプラン,Design firm genplan,design-firm-genplan
508,黒川雅之建築設計事務所,MASAYUKI KUROKAWA ARCHITECT & ASSOCIATES,masayuki-kurokawa-architect-associates-508
517,横山公男・連合設計社,"Kimio yokoyama, rengo sekkeisha",kimio-yokoyama-rengo-sekkeisha
519,U研究室,U laboratory,u-laboratory
523,吉沢都市・建築設計事務所,Yoshizawa urban & architectural design office,yoshizawa-urban-architectural-design-office
524,西村征一郎・建築環境研究所,"Seiichiro nishimura, institute for built environment",seiichiro-nishimura-institute-for-built-environment
526,RIA建築綜合研究所,Ria architectural research institute,ria-architectural-research-institute
527,斎藤裕建築研究室,Yutaka saito architectural laboratory,yutaka-saito-architectural-laboratory
529,郵政大臣官房建築部,Minister of posts and telecommunications building department,minister-of-posts-and-telecommunications-building-department
530,ALP設計室,Alp design office,alp-design-office-530
532,DEN住宅研究室,Den housing laboratory,den-housing-laboratory
536,三村翰＋計画研究所DAN,Han mimura + planning institute dan,han-mimura-planning-institute-dan
